bmac_can_receive enabled=0 waiting=0
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x3 size=2
bmac_reg_write addr=0x190 val=0x1 size=2
bmac_reg_write addr=0x190 val=0x0 size=2
bmac_reg_write addr=0x420 val=0x1 size=2
bmac_reg_write addr=0x620 val=0x0 size=2
bmac_reg_write addr=0x160 val=0xe size=2
bmac_reg_write addr=0x540 val=0x3757 size=2
bmac_reg_write addr=0x0 val=0x1 size=2
bmac_reg_write addr=0x500 val=0x0 size=2
bmac_reg_write addr=0x510 val=0x0 size=2
bmac_reg_write addr=0x520 val=0x0 size=2
bmac_reg_write addr=0x530 val=0x0 size=2
bmac_reg_write addr=0x690 val=0x0 size=2
bmac_reg_write addr=0x6a0 val=0x0 size=2
bmac_reg_write addr=0x6b0 val=0x0 size=2
bmac_reg_write addr=0x6c0 val=0x0 size=2
bmac_reg_write addr=0x6e0 val=0x0 size=2
bmac_reg_write addr=0x110 val=0x4 size=2
bmac_reg_write addr=0x100 val=0x0 size=2
bmac_reg_write addr=0x100 val=0x1 size=2
bmac_reg_write addr=0x120 val=0x0 size=2
bmac_reg_write addr=0x120 val=0x1 size=2
bmac_irq_update raise=0 status=0x0 int_mask=0xffffffff
bmac_reg_write addr=0x210 val=0xfcff size=2
bmac_irq_update raise=0 status=0x0 int_mask=0xfcff
bmac_reg_write addr=0x700 val=0x0 size=2
bmac_reg_write addr=0x710 val=0x0 size=2
bmac_reg_write addr=0x720 val=0x0 size=2
bmac_reg_write addr=0x730 val=0x0 size=2
bmac_reg_write addr=0x630 val=0xb00 size=2
bmac_reg_write addr=0x0 val=0x1 size=2
bmac_rx_dma_armed addr=0x73d790 len=1536
bmac_reg_write addr=0x630 val=0xb00 size=2
bmac_reg_write addr=0x680 val=0x5 size=2
bmac_reg_write addr=0x670 val=0x212 size=2
bmac_reg_write addr=0x660 val=0x3456 size=2
bmac_reg_write addr=0x630 val=0xb00 size=2
bmac_reg_write addr=0x630 val=0xb00 size=2
